time,u_left,u_right
17.74,2.5,-2.5
17.76,2.5,-2.5
17.78,2.5,-2.5
17.8,2.5,-2.5
17.82,2.5,-2.5
17.84,2.5,-2.5
17.86,2.5,-2.5
17.88,2.5,-2.5
17.9,-2.5,2.5
17.92,-2.5,2.5
17.94,-2.5,2.5
17.96,-2.5,2.5
17.98,-2.5,2.5
18,2.5,-2.5
18.02,2.5,-2.5
18.04,2.5,-2.5
18.06,2.5,-2.5
18.08,2.5,-2.5
18.1,-2.5,2.5
18.12,-2.5,2.5
18.14,-2.5,2.5
18.16,-2.5,2.5
18.18,-2.5,2.5
18.2,-2.5,2.5
18.22,-2.5,2.5
18.24,-2.5,2.5
18.26,-2.5,2.5
18.28,-2.5,2.5
18.3,-2.5,2.5
18.32,-2.5,2.5
18.34,-2.5,2.5
18.36,-2.5,2.5
18.38,-2.5,2.5
18.4,-2.5,2.5
18.42,-2.5,2.5
18.44,-2.5,2.5
18.46,-2.5,2.5
18.48,-2.5,2.5
18.5,2.5,-2.5
18.52,2.5,-2.5
18.54,2.5,-2.5
18.56,2.5,-2.5
18.58,2.5,-2.5
18.6,2.5,-2.5
18.62,2.5,-2.5
18.64,2.5,-2.5
18.66,2.5,-2.5
18.68,2.5,-2.5
18.7,-2.5,2.5
18.72,-2.5,2.5
18.74,-2.5,2.5
18.76,-2.5,2.5
18.78,-2.5,2.5
18.8,2.5,-2.5
18.82,2.5,-2.5
18.84,2.5,-2.5
18.86,2.5,-2.5
18.88,2.5,-2.5
18.9,-2.5,2.5
18.92,-2.5,2.5
18.94,-2.5,2.5
18.96,-2.5,2.5
18.98,-2.5,2.5
19,-2.5,2.5
19.02,-2.5,2.5
19.04,-2.5,2.5
19.06,-2.5,2.5
19.08,-2.5,2.5
19.1,2.5,-2.5
19.12,2.5,-2.5
19.14,2.5,-2.5
19.16,2.5,-2.5
19.18,2.5,-2.5
19.2,2.5,-2.5
19.22,2.5,-2.5
19.24,2.5,-2.5
19.26,2.5,-2.5
19.28,2.5,-2.5
19.3,2.5,-2.5
19.32,2.5,-2.5
19.34,2.5,-2.5
19.36,2.5,-2.5
19.38,2.5,-2.5
19.4,-2.5,2.5
19.42,-2.5,2.5
19.44,-2.5,2.5
19.46,-2.5,2.5
19.48,-2.5,2.5
19.5,2.5,-2.5
19.52,2.5,-2.5
19.54,2.5,-2.5
19.56,2.5,-2.5
19.58,2.5,-2.5
19.6,2.5,-2.5
19.62,2.5,-2.5
19.64,2.5,-2.5
19.66,2.5,-2.5
19.68,2.5,-2.5
19.7,2.5,-2.5
19.72,2.5,-2.5
19.74,2.5,-2.5
19.76,2.5,-2.5
19.78,2.5,-2.5
19.8,-2.5,2.5
19.82,-2.5,2.5
19.84,-2.5,2.5
19.86,-2.5,2.5
19.88,-2.5,2.5
19.9,-2.5,2.5
19.92,-2.5,2.5
19.94,-2.5,2.5
19.96,-2.5,2.5
19.98,-2.5,2.5
20,2.5,-2.5
20.02,2.5,-2.5
20.04,2.5,-2.5
20.06,2.5,-2.5
20.08,2.5,-2.5
20.1,2.5,-2.5
20.12,2.5,-2.5
20.14,2.5,-2.5
20.16,2.5,-2.5
20.18,2.5,-2.5
20.2,-2.5,2.5
20.22,-2.5,2.5
20.24,-2.5,2.5
20.26,-2.5,2.5
20.28,-2.5,2.5
20.3,-2.5,2.5
20.32,-2.5,2.5
20.34,-2.5,2.5
20.36,-2.5,2.5
20.38,-2.5,2.5
20.4,2.5,-2.5
20.42,2.5,-2.5
20.44,2.5,-2.5
20.46,2.5,-2.5
20.48,2.5,-2.5
20.5,2.5,-2.5
20.52,2.5,-2.5
20.54,2.5,-2.5
20.56,2.5,-2.5
20.58,2.5,-2.5
20.6,2.5,-2.5
20.62,2.5,-2.5
20.64,2.5,-2.5
20.66,2.5,-2.5
20.68,2.5,-2.5
20.7,-2.5,2.5
20.72,-2.5,2.5
20.74,-2.5,2.5
20.76,-2.5,2.5
20.78,-2.5,2.5
20.8,-2.5,2.5
20.82,-2.5,2.5
20.84,-2.5,2.5
20.86,-2.5,2.5
20.88,-2.5,2.5
20.9,-2.5,2.5
20.92,-2.5,2.5
20.94,-2.5,2.5
20.96,-2.5,2.5
20.98,-2.5,2.5
21,2.5,-2.5
21.02,2.5,-2.5
21.04,2.5,-2.5
21.06,2.5,-2.5
21.08,2.5,-2.5
21.1,2.5,-2.5
21.12,2.5,-2.5
21.14,2.5,-2.5
21.16,2.5,-2.5
21.18,2.5,-2.5
21.2,2.5,-2.5
21.22,2.5,-2.5
21.24,2.5,-2.5
21.26,2.5,-2.5
21.28,2.5,-2.5
21.3,2.5,-2.5
21.32,2.5,-2.5
21.34,2.5,-2.5
21.36,2.5,-2.5
21.38,2.5,-2.5
21.4,-2.5,2.5
21.42,-2.5,2.5
21.44,-2.5,2.5
21.46,-2.5,2.5
21.48,-2.5,2.5
21.5,-2.5,2.5
21.52,-2.5,2.5
